Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
Heavily indebted poor countries (HIPC),HPC,,41.23430384039407,1528.730194751484,,,5162592.41,647405.2,134992211.46,88304128.0,4974978.109999999,,1283.719399285274
Honduras,HND,1976.0,31.959960675663595,1892.9,102.27,,20193.0,73193.0,751007.99,396745.0,93386.0,107.0,
"Hong Kong SAR, China",HKG,,3.8095238095238098,2049.4,101.49,,77199.998,3361.2,0.06,0.0,80561.198,141.66,
Hungary,HUN,589.0,55.621433267587115,4032.1,62.75,2.622649434240896,4596.812,18557.112,9060660.0,2247110.0,23153.924,74.66,106.24345389180876
IBRD only,IBD,,35.69022196914407,4350.7392377907145,,,56627543.83,116149391.97,1917456071.74,440718929.0,172776935.80000007,,98.37859805901998
IDA blend,IDB,,46.080079534998184,2371.4759640490925,,,2501178.52,614746.54,99238013.49000002,41846287.0,3115925.06,,91.11741043756247
IDA only,IDX,,41.06171795872304,2159.25994526855,,,10354015.57,5074115.97,253720973.02000007,117503921.0,14434786.090000002,,1327.7796006131503
IDA total,IDA,,42.03462954297926,2214.989100186803,,,12855194.089999998,5688862.509999999,352958986.51,159350208.0,17550711.150000002,,174.89626051331328
Iceland,ISL,1940.0,18.56590300505802,2966.7,117.58,0.002670940170940171,1663024.542,51362.0,8900.0,3000.0,1714386.542,102.07,
India,IND,1083.0,60.055585650429336,3589.1,123.29,43.69854575695885,5539024.996,10235300.0,362466730.0,100990760.0,15774324.996,127.82,143.8432952721559
Indonesia,IDN,2702.0,29.007383017418242,5833.8,111.41,,7428664.921,14776056.934,77105730.08,13217038.0,22204721.855,117.14,121.85481038584672
"Iran, Islamic Rep.",IRN,228.0,29.00893682588598,2317.6,77.41,16.93755709945397,803802.294,548055.0,20162028.86,8699356.0,1351857.294,83.89,58.69346227460461
Iraq,IRQ,216.0,21.778499527791215,2978.6,104.22,,44550.0,23000.0,3724302.96,1250350.0,67550.0,106.36,231.13821984725487
Ireland,IRL,1118.0,63.11511104659602,8701.5,99.43,,203538.766,44014.0,2485680.0,285660.0,247552.766,121.51,
Isle of Man,IMN,,71.40350877192982,,,,3041.0,0.0,,,3041.0,,
Israel,ISR,,24.704251386321626,1844.4,99.92,36.04564160119716,2100.0,13840.0,241004.19,130670.0,15940.0,105.48,2.3174532060784405
Italy,ITA,832.0,43.963147572027594,4750.0,93.95,,143770.194,130496.845,14300570.0,3010620.0,274267.039,96.97,125.60020417913607
Jamaica,JAM,2051.0,38.504155124653735,1162.4,111.66,,12529.49,963.2,2426.0,2087.0,13492.69,113.26,
Japan,JPN,1668.0,12.716049382716049,6319.9,94.6,,2979680.5,943494.827,11718541.06,1854215.0,3923175.327,100.27,122.204177213785
Jordan,JOR,111.0,11.74628916368223,1434.7,98.36,8.389261744966444,675.0,2582.0,50899.5,35477.0,3257.0,110.25,2.1264125287194635
Kazakhstan,KAZ,250.0,79.36648516501833,1377.2,129.35,0.8304642320259379,42691.9,13297.232,22040639.83,16004351.0,55989.132,127.76,84.74361258849032
Kenya,KEN,630.0,49.48304535750555,1477.4,116.97,,150546.459,28938.0,3846912.71,2603863.0,179484.459,112.38,
Kiribati,KIR,,41.9753086419753,,95.75,,203294.048,2.0,,,203296.048,97.32,
"Korea, Dem. People's Rep.",PRK,1054.0,21.553027157212856,3631.4,92.58,,214320.0,680700.0,4592603.0,1264709.0,895020.0,92.69,
"Korea, Rep.",KOR,1274.0,16.229508196721312,6612.2,93.62,,1260023.678,2313068.64,5219697.61,789402.0,3573092.318,101.21,56.34019313774738
Kuwait,KWT,121.0,8.417508417508419,14492.4,109.27,,1886.0,464.0,27028.69,1865.0,2350.0,130.87,
Kyrgyz Republic,KGZ,533.0,55.252606882168934,3249.4,106.82,9.474920853601573,31.0,20698.3,1912650.7,588623.0,20729.3,112.75,
Lao PDR,LAO,1834.0,9.791161178509531,4454.2,113.65,19.514558810514202,72420.0,137788.0,4057610.0,910959.0,210208.0,114.84,10.224200235927599
Late-demographic dividend,LTE,,34.21271521218528,4780.109873589757,,,33539617.89,85309840.77,1140824468.4699998,238660959.0,118849458.65999994,,89.1143991786301
Latvia,LVA,667.0,31.656757191065406,4186.0,105.2,,61508.0,869.91,3243700.0,774900.0,62377.91,103.93,
Lebanon,LBN,661.0,66.12756598240469,2414.5,97.9,,2620.0,938.0,133552.0,55313.0,3558.0,104.14,38.5593607305936
Lesotho,LSO,788.0,74.94729907773386,728.9,107.64,,79.0,1832.26,82443.77,113112.0,1911.26,98.67,
Liberia,LBR,2391.0,19.96511627906977,1120.6,115.6,,29338.0,1375.0,288000.0,257000.0,30713.0,102.67,
Libya,LBY,56.0,8.723871011741705,671.9,98.35,,32585.0,10.0,209829.86,312272.0,32595.0,105.75,187.14
Liechtenstein,LIE,,32.3125,,,,0.0,0.0,,,0.0,,
Lithuania,LTU,656.0,46.503418311928954,4210.2,105.08,,106936.012,4859.01,5623660.0,1335720.0,111795.022,99.53,41.6712820809743
Luxembourg,LUX,934.0,51.47114346309517,6154.3,96.39,,0.0,0.0,170660.0,27730.0,0.0,114.89,
"Macao SAR, China",MAC,,,,103.18,,1500.0,0.0,,,1500.0,81.34,
